Brand,Model,Form Factor,Cybenetics Rating,20W Efficiency,40W Efficiency,60W Efficiency,80W Efficiency,Report Link
Super Flower,Leadex III Gold 550W rev.1,ATX12V,GOLD,"72,85%","10,00%","20,00%","30,00%",https://www.cybenetics.com/d/cybenetics_sm4.pdf
Fractal Design,ION SFX G 650,SFX-L,GOLD,"72,83%","81,89%","85,55%","86,77%",https://www.cybenetics.com/d/cybenetics_DED.pdf
Super Flower,Leadex III Gold 650W rev.2,ATX12V,SILVER,"72,78%","82,05%","85,23%","87,13%",https://www.cybenetics.com/d/cybenetics_7UA.pdf
EVGA,SuperNOVA 650 GM,SFX,SILVER,"72,74%","83,03%","86,73%","88,64%",https://www.cybenetics.com/d/cybenetics_U5b.pdf
EVGA,SuperNOVA 750 G6,ATX12V,GOLD,"72,73%","77,47%","82,68%","86,36%",https://www.cybenetics.com/d/cybenetics_iAI.pdf
Micronics,Classic II Full Change 500W,ATX12V,BRONZE,"72,63%","78,44%","81,29%","83,06%",https://www.cybenetics.com/d/cybenetics_UlG.pdf
Thermaltake,Smart BM2 550W,ATX12V,SILVER,"72,63%","80,96%","84,58%","85,79%",https://www.cybenetics.com/d/cybenetics_OVs.pdf
InWin,Classic 900W (#2),ATX12V,BRONZE,"72,58%","81,80%","84,47%","87,72%",https://www.cybenetics.com/d/cybenetics_tn4.pdf
Thermaltake,Toughpower GF A3 650W,ATX12V,PLATINUM,"72,56%","82,48%","85,99%","87,70%",https://www.cybenetics.com/d/cybenetics_9Rb.pdf
Super Flower,Leadex III Gold ARGB 650W (#2),ATX12V,BRONZE,"72,54%","81,47%","85,24%","86,65%",https://www.cybenetics.com/d/cybenetics_WWk.pdf
Channel Well Technology,CSX 850M-G,SFX,GOLD,"72,53%","79,70%","83,17%","84,75%",https://www.cybenetics.com/d/cybenetics_C1g.pdf
Thermaltake,Toughpower PF3 750W,ATX12V,PLATINUM,"72,53%","83,00%","86,73%","88,83%",https://www.cybenetics.com/d/cybenetics_YiQ.pdf
Corsair,CX550F RGB,ATX12V,GOLD,"72,50%","81,83%","85,16%","86,85%",https://www.cybenetics.com/d/cybenetics_ElT.pdf
Cooler Master,XG 750,ATX12V,PLATINUM,"72,48%","82,47%","86,44%","88,34%",https://www.cybenetics.com/d/cybenetics_uET.pdf
Thermaltake,Toughpower PF3 850W,ATX12V,PLATINUM,"72,48%","82,90%","86,85%","88,99%",https://www.cybenetics.com/d/cybenetics_cSt.pdf
Enermax,Revolution D.F.X 850W,ATX12V,PLATINUM,"72,46%","82,35%","85,93%","87,59%",https://www.cybenetics.com/d/cybenetics_lyH.pdf
Seasonic,Focus GX-1000 ATX3.0,ATX12V,GOLD,"72,42%","78,99%","82,52%","85,55%",https://www.cybenetics.com/d/cybenetics_eL0.pdf
High Power,HP1-O21000GD-F14C,ATX12V,PLATINUM,"72,38%","79,27%","81,63%","84,88%",https://www.cybenetics.com/d/cybenetics_Tcd.pdf
Micronics,Classic II Full Change 700W,ATX12V,BRONZE,"72,28%","78,78%","81,82%","83,78%",https://www.cybenetics.com/d/cybenetics_tHt.pdf
Cooler Master,XG 850,ATX12V,PLATINUM,"72,16%","82,36%","86,38%","88,30%",https://www.cybenetics.com/d/cybenetics_7wX.pdf
Corsair,SF1000L,SFX-L,PLATINUM,"72,16%","81,80%","86,04%","88,16%",https://www.cybenetics.com/d/cybenetics_P26.pdf
Super Flower,Leadex III Gold 650W rev.3 (mode 0),ATX12V,SILVER,"72,16%","81,52%","85,47%","86,67%",https://www.cybenetics.com/d/cybenetics_GZ3.pdf
Super Flower,Leadex III Gold 650W rev.3 (mode 1),ATX12V,SILVER,"72,16%","81,52%","85,47%","86,67%",https://www.cybenetics.com/d/cybenetics_MMg.pdf
Corsair,CX550M (2021),ATX12V,SILVER,"72,14%","81,02%","84,78%","86,62%",https://www.cybenetics.com/d/cybenetics_oA3.pdf
Micronics,Wizmax Platinum 1050W,ATX12V,TITANIUM,"72,13%","82,11%","85,61%","87,52%",https://www.cybenetics.com/d/cybenetics_StT.pdf
Deepcool,DA500 (Sample #2),ATX12V,,"72,10%","80,79%","83,80%","85,30%",https://www.cybenetics.com/d/cybenetics_6UD.pdf
FSP Technology Inc.,HPT850M Hydro,ATX12V,PLATINUM,"72,10%","82,30%","85,97%","87,96%",https://www.cybenetics.com/d/cybenetics_5l6.pdf
Super Flower,Leadex III Gold 650W rev.1,ATX12V,BRONZE,"72,10%","10,00%","20,00%","30,00%",https://www.cybenetics.com/d/cybenetics_gTq.pdf
Seasonic,Prime Gold Ultra 1000W,ATX12V,PLATINUM,"72,04%","81,91%","85,99%","87,49%",https://www.cybenetics.com/d/cybenetics_V2s.pdf
Montech,Century 650W,ATX12V,SILVER,"71,94%","82,07%","85,52%","87,40%",https://www.cybenetics.com/d/cybenetics_oeE.pdf
Corsair,RM550x (2018) (Sample #3),ATX12V,GOLD,"71,92%","81,15%","85,55%","87,25%",https://www.cybenetics.com/d/cybenetics_ZGA.pdf
Deepcool,DA500,ATX12V,BRONZE,"71,92%","80,64%","83,68%","85,17%",https://www.cybenetics.com/d/cybenetics_qMQ.pdf
Super Frame,SF-B700FL,ATX12V,SILVER,"71,89%","80,33%","83,65%","85,19%",https://www.cybenetics.com/d/cybenetics_1eq.pdf
Cooler Master,V650 Gold,ATX12V,,"71,88%","81,84%","86,15%","88,20%",https://www.cybenetics.com/d/cybenetics_pY5.pdf
1st Player,NGDP 1000W,ATX12V,PLATINUM,"71,85%","81,71%","85,71%","87,59%",https://www.cybenetics.com/d/cybenetics_txa.pdf
Corsair,RM650x (2018) (Sample #2),ATX12V,GOLD,"71,84%","80,83%","84,84%","86,77%",https://www.cybenetics.com/d/cybenetics_iuQ.pdf
Asus,ROG-LOKI-1000P-SFX-L-GAMING,SFX-L,PLATINUM,"71,80%","81,74%","86,58%","88,47%",https://www.cybenetics.com/d/cybenetics_enO.pdf
Corsair,RM550x (2018),ATX12V,GOLD,"71,80%","81,87%","85,94%","87,95%",https://www.cybenetics.com/d/cybenetics_vgm.pdf
Bitfenix,Whisper 750W,ATX12V,GOLD,"71,77%","82,03%","85,85%","87,67%",https://www.cybenetics.com/d/cybenetics_Xcq.pdf
Thermaltake,Toughpower GF1 ARGB 850W,ATX12V,GOLD,"71,76%","82,06%","86,16%","87,82%",https://www.cybenetics.com/d/cybenetics_sGz.pdf
XPG,Pylon 550W,ATX12V,SILVER,"71,69%","80,40%","84,07%","85,39%",https://www.cybenetics.com/d/cybenetics_gt4.pdf
Thermaltake,Smart BM2 650W,ATX12V,SILVER,"71,68%","80,48%","84,26%","86,18%",https://www.cybenetics.com/d/cybenetics_gu9.pdf
Phanteks,AMP 550W,ATX12V,SILVER,"71,62%","81,25%","84,77%","86,83%",https://www.cybenetics.com/d/cybenetics_AVe.pdf
Gigabyte,P850GM,ATX12V,PLATINUM,"71,61%","81,75%","85,75%","88,05%",https://www.cybenetics.com/d/cybenetics_W3a.pdf
1st Player,NGDP 1300W,ATX12V,PLATINUM,"71,59%","81,53%","85,87%","87,92%",https://www.cybenetics.com/d/cybenetics_EdT.pdf
Seasonic,Focus Plus Platinum 550W,ATX12V,PLATINUM,"71,58%","81,87%","85,64%","87,26%",https://www.cybenetics.com/d/cybenetics_cnv.pdf
Corsair,SF750 Platinum,SFX,PLATINUM,"71,56%","81,72%","85,60%","87,74%",https://www.cybenetics.com/d/cybenetics_OLY.pdf
Super Flower,Leadex III Gold ARGB 650W,ATX12V,BRONZE,"71,55%","81,21%","85,07%","86,45%",https://www.cybenetics.com/d/cybenetics_glK.pdf
be quiet!,Pure Power 10 500W,ATX12V,SILVER,"71,54%","82,05%","85,95%","87,36%",https://www.cybenetics.com/d/cybenetics_BZ9.pdf
XPG,Pylon 650W (#2),ATX12V,SILVER,"71,54%","80,35%","83,61%","85,65%",https://www.cybenetics.com/d/cybenetics_vBP.pdf
Corsair,CX450M (2021),ATX12V,BRONZE,"71,46%","80,26%","84,28%","85,16%",https://www.cybenetics.com/d/cybenetics_nvT.pdf
Super Flower,Leadex III 850W rev.2 (mode 0),ATX12V,GOLD,"71,46%","81,10%","85,18%","86,28%",https://www.cybenetics.com/d/cybenetics_Upq.pdf
Super Flower,Leadex III 850W rev.2 (mode 1),ATX12V,GOLD,"71,46%","81,10%","85,18%","86,28%",https://www.cybenetics.com/d/cybenetics_aOu.pdf
Corsair,CX650M (2021),ATX12V,SILVER,"71,44%","80,33%","83,94%","86,41%",https://www.cybenetics.com/d/cybenetics_TsU.pdf
XPG,KYBER 750,ATX12V,GOLD,"71,42%","82,01%","85,72%","87,82%",https://www.cybenetics.com/d/cybenetics_a1J.pdf
FSP Technology Inc.,HPT650M Hydro (#4),ATX12V,PLATINUM,"71,36%","81,90%","85,61%","87,57%",https://www.cybenetics.com/d/cybenetics_dxH.pdf
be quiet!,System Power U9 500W (#2),ATX12V,SILVER,"71,31%","80,38%","83,66%","85,31%",https://www.cybenetics.com/d/cybenetics_dYJ.pdf
Pichau Gaming,Nidus 500W (#3),ATX12V,BRONZE,"71,28%","79,86%","83,25%","84,95%",https://www.cybenetics.com/d/cybenetics_cxd.pdf
be quiet!,System Power U9 500W,ATX12V,SILVER,"71,26%","80,31%","83,61%","85,29%",https://www.cybenetics.com/d/cybenetics_o1e.pdf
Thermaltake,Toughpower GF A3 850W,ATX12V,PLATINUM,"71,25%","81,93%","85,56%","87,94%",https://www.cybenetics.com/d/cybenetics_L0Y.pdf
Seasonic,Focus Plus Platinum 750W,ATX12V,PLATINUM,"71,23%","81,14%","85,15%","87,38%",https://www.cybenetics.com/d/cybenetics_SAQ.pdf
XPG,Pylon 550W (#2),ATX12V,SILVER,"71,20%","80,16%","83,79%","85,29%",https://www.cybenetics.com/d/cybenetics_LrC.pdf
Super Flower,Leadex II 750W,ATX12V,,"71,18%","80,57%","85,30%","86,99%",https://www.cybenetics.com/d/cybenetics_UFp.pdf
Seasonic,Focus SGX 650W,SFX-L,GOLD,"71,15%","81,25%","85,07%","87,12%",https://www.cybenetics.com/d/cybenetics_MeS.pdf
Super Flower,Leadex III 850W rev.1,ATX12V,PLATINUM,"71,12%","81,37%","85,27%","86,70%",https://www.cybenetics.com/d/cybenetics_39D.pdf
Gigabyte,UD1000GM PG5,ATX12V,PLATINUM,"71,11%","81,02%","85,10%","87,30%",https://www.cybenetics.com/d/cybenetics_AGp.pdf
Channel Well Technology,GPT500S-A,ATX12V,BRONZE,"71,09%","80,06%","83,33%","84,96%",https://www.cybenetics.com/d/cybenetics_6DE.pdf
Corsair,RM550x (2018) (Sample #2),ATX12V,GOLD,"71,09%","81,41%","85,36%","87,48%",https://www.cybenetics.com/d/cybenetics_JuS.pdf
Seasonic,Prime Titanium Ultra 1000W (#2),ATX12V,TITANIUM,"71,08%","85,46%","89,39%","91,00%",https://www.cybenetics.com/d/cybenetics_PmN.pdf
XPG,Pylon 650W,ATX12V,SILVER,"71,08%","80,02%","83,70%","85,71%",https://www.cybenetics.com/d/cybenetics_LLm.pdf
Thermaltake,Toughpower PF3 1050W,ATX12V,PLATINUM,"71,05%","76,79%","85,65%","87,94%",https://www.cybenetics.com/d/cybenetics_b1W.pdf
EVGA,SuperNOVA 750 GA,ATX12V,SILVER,"71,03%","81,57%","85,74%","87,81%",https://www.cybenetics.com/d/cybenetics_Y4X.pdf
Enermax,RevoBron 700W,ATX12V,SILVER,"71,00%","80,61%","84,53%","85,79%",https://www.cybenetics.com/d/cybenetics_n3d.pdf
Corsair,CX750M (2021),ATX12V,SILVER,"70,99%","79,43%","83,73%","85,94%",https://www.cybenetics.com/d/cybenetics_m2G.pdf
Seasonic,Focus Plus Platinum 650W,ATX12V,PLATINUM,"70,98%","81,85%","85,61%","87,55%",https://www.cybenetics.com/d/cybenetics_IaU.pdf
Corsair,CX650,ATX12V,GOLD,"70,97%","80,58%","84,31%","85,80%",https://www.cybenetics.com/d/cybenetics_Jsj.pdf
Channel Well Technology,GPU850V-G (#2),ATX12V,PLATINUM,"70,87%","81,85%","85,42%","87,52%",https://www.cybenetics.com/d/cybenetics_yLi.pdf
Game G Factor,PSG1050,ATX12V,GOLD,"70,87%","79,34%","82,33%","83,62%",https://www.cybenetics.com/d/cybenetics_BaW.pdf
MSI,MEG Ai1300P PCIE5,ATX12V,PLATINUM,"70,86%","78,41%","81,30%","83,33%",https://www.cybenetics.com/d/cybenetics_jWP.pdf
SilverStone,Strider Platinum 850W,ATX12V,PLATINUM,"70,83%","82,58%","86,46%","89,03%",https://www.cybenetics.com/d/cybenetics_HrU.pdf
Gigabyte,P850GM (#2),ATX12V,PLATINUM,"70,78%","82,06%","86,08%","88,41%",https://www.cybenetics.com/d/cybenetics_MdG.pdf
Cougar,VTE Bronze 600W,ATX12V,BRONZE,"70,77%","79,33%","82,73%","84,86%",https://www.cybenetics.com/d/cybenetics_j7N.pdf
Super Flower,Leadex VII XG 1000W,ATX12V,PLATINUM,"70,77%","81,01%","85,67%","87,66%",https://www.cybenetics.com/d/cybenetics_cQU.pdf
be quiet!,Pure Power 11 700W,ATX12V,GOLD,"70,73%","81,85%","85,61%","87,57%",https://www.cybenetics.com/d/cybenetics_kV6.pdf
EVGA,SuperNOVA 850 G7,ATX12V,PLATINUM,"70,68%","81,12%","85,32%","87,56%",https://www.cybenetics.com/d/cybenetics_hkj.pdf
Channel Well Technology,GPU850V-G,ATX12V,PLATINUM,"70,67%","81,89%","85,72%","87,57%",https://www.cybenetics.com/d/cybenetics_Lou.pdf
MSI,MPG A750GF,ATX12V,GOLD,"70,65%","82,31%","86,21%","88,14%",https://www.cybenetics.com/d/cybenetics_cwa.pdf
Seasonic,Focus Plus Gold 550W,ATX12V,SILVER,"70,65%","81,05%","85,11%","87,06%",https://www.cybenetics.com/d/cybenetics_r2I.pdf
FSP Technology Inc.,Dagger Pro 850W,SFX,SILVER,"70,62%","80,63%","84,48%","86,66%",https://www.cybenetics.com/d/cybenetics_7Q0.pdf
SilverStone,HELA 850R Platinum,ATX12V,PLATINUM,"70,61%","80,30%","85,25%","87,96%",https://www.cybenetics.com/d/cybenetics_CDE.pdf
Asus,TUF-750B-GAMING,ATX12V,SILVER,"70,60%","80,12%","83,71%","85,73%",https://www.cybenetics.com/d/cybenetics_whm.pdf
NZXT,NP-C650M,ATX12V,GOLD,"70,59%","80,68%","84,70%","86,68%",https://www.cybenetics.com/d/cybenetics_fcF.pdf
Thermaltake,Toughpower GF3 1350W,ATX12V,PLATINUM,"70,58%","78,61%","80,80%","82,88%",https://www.cybenetics.com/d/cybenetics_tu5.pdf
NZXT,NP-C850M,ATX12V,GOLD,"70,57%","80,61%","84,61%","86,13%",https://www.cybenetics.com/d/cybenetics_It6.pdf
XPG,Pylon 750W (#2),ATX12V,SILVER,"70,55%","79,61%","83,43%","85,88%",https://www.cybenetics.com/d/cybenetics_3aJ.pdf
EVGA,450 BT (Sample #2),ATX12V,,"70,54%","78,87%","81,89%","83,44%",https://www.cybenetics.com/d/cybenetics_Wr5.pdf
Pichau Gaming,Nidus 500W (#2),ATX12V,BRONZE,"70,50%","79,39%","82,73%","84,49%",https://www.cybenetics.com/d/cybenetics_lxm.pdf
Seasonic,Prime Titanium Ultra 1000W,ATX12V,TITANIUM,"70,48%","85,35%","89,23%","90,99%",https://www.cybenetics.com/d/cybenetics_7md.pdf
Mistel,Vision 650W (#2),ATX12V,PLATINUM,"70,46%","81,43%","85,01%","87,29%",https://www.cybenetics.com/d/cybenetics_UKx.pdf
Bitfenix,Formula Gold 650W (#2),ATX12V,GOLD,"70,44%","82,55%","86,09%","87,80%",https://www.cybenetics.com/d/cybenetics_McB.pdf
Thermaltake,Toughpower GF1 850W (#2),ATX12V,GOLD,"70,42%","81,03%","85,05%","87,15%",https://www.cybenetics.com/d/cybenetics_eVJ.pdf
MiFCOM,Performance 550W,ATX12V,BRONZE,"70,40%","80,75%","85,12%","87,24%",https://www.cybenetics.com/d/cybenetics_VhF.pdf
Seasonic,Core GM-650,ATX12V,GOLD,"70,39%","80,66%","84,53%","86,49%",https://www.cybenetics.com/d/cybenetics_Wm5.pdf
XPG,Core Reactor 750W,ATX12V,PLATINUM,"70,39%","80,94%","85,20%","87,55%",https://www.cybenetics.com/d/cybenetics_es9.pdf
Thermaltake,Smart BM2 750W,ATX12V,SILVER,"70,36%","79,73%","83,49%","85,89%",https://www.cybenetics.com/d/cybenetics_ENC.pdf
PC Power & Cooling,Silencer Platinum 1050W,ATX12V,PLATINUM,"70,27%","81,74%","86,24%","88,69%",https://www.cybenetics.com/d/cybenetics_OaR.pdf
Corsair,SF600 Platinum (Sample #5),SFX,PLATINUM,"70,25%","81,33%","85,80%","87,73%",https://www.cybenetics.com/d/cybenetics_J2H.pdf
Gigabyte,UD850GM,ATX12V,PLATINUM,"70,24%","79,92%","84,03%","87,16%",https://www.cybenetics.com/d/cybenetics_yqX.pdf
Aerocool,Xpredator 400W,ATX12V,SILVER,"70,19%","80,33%","83,95%","85,79%",https://www.cybenetics.com/d/cybenetics_jgu.pdf
XPG,Pylon 750W,ATX12V,SILVER,"70,19%","79,77%","83,36%","85,52%",https://www.cybenetics.com/d/cybenetics_fN9.pdf
FSP Technology Inc.,HPT650M Hydro (#2),ATX12V,SILVER,"70,14%","80,84%","85,29%","87,50%",https://www.cybenetics.com/d/cybenetics_APc.pdf
Bitfenix,Whisper 850W,ATX12V,GOLD,"70,12%","81,91%","85,71%","87,63%",https://www.cybenetics.com/d/cybenetics_GJg.pdf
NZXT,NP-C750M,ATX12V,GOLD,"70,09%","80,50%","84,67%","86,80%",https://www.cybenetics.com/d/cybenetics_vph.pdf
Phanteks,AMP 550W (#2),ATX12V,SILVER,"70,09%","80,21%","84,36%","86,65%",https://www.cybenetics.com/d/cybenetics_dch.pdf
Pichau Gaming,Nidus 500W,ATX12V,BRONZE,"70,02%","79,05%","82,37%","84,29%",https://www.cybenetics.com/d/cybenetics_cNY.pdf
Deepcool,DQ850-M,ATX12V,GOLD,"70,01%","81,42%","85,14%","87,40%",https://www.cybenetics.com/d/cybenetics_OXx.pdf
Deepcool,PQ850M,ATX12V,GOLD,"69,96%","80,44%","84,57%","86,79%",https://www.cybenetics.com/d/cybenetics_u5Z.pdf
SilverStone,SX1000R Platinum,SFX-L,PLATINUM,"69,96%","80,36%","83,35%","86,12%",https://www.cybenetics.com/d/cybenetics_P8d.pdf
Mistel,Vision 650W,ATX12V,PLATINUM,"69,95%","81,20%","85,36%","87,17%",https://www.cybenetics.com/d/cybenetics_AgL.pdf
Gigabyte,UD750GM,ATX12V,PLATINUM,"69,93%","81,06%","85,66%","87,80%",https://www.cybenetics.com/d/cybenetics_i4z.pdf
PC Power & Cooling,Silencer Platinum 1050W (#2),ATX12V,PLATINUM,"69,93%","81,47%","86,13%","88,52%",https://www.cybenetics.com/d/cybenetics_gvm.pdf
Thermaltake,Toughpower Grand RGB 850W Platinum (#2),ATX12V,SILVER,"69,92%","79,40%","86,00%","88,01%",https://www.cybenetics.com/d/cybenetics_QX6.pdf
Asus,ROG-STRIX-750G (#1),ATX12V,GOLD,"69,91%","80,41%","84,48%","86,73%",https://www.cybenetics.com/d/cybenetics_v0k.pdf
FSP Technology Inc.,HPT750M Hydro,ATX12V,PLATINUM,"69,91%","80,98%","85,08%","87,00%",https://www.cybenetics.com/d/cybenetics_DWN.pdf
High Power,HP1-M650BR-F12S,ATX12V,BRONZE,"69,90%","77,36%","81,14%","82,80%",https://www.cybenetics.com/d/cybenetics_9SZ.pdf
XPG,KYBER 850,ATX12V,GOLD,"69,89%","80,80%","84,97%","87,30%",https://www.cybenetics.com/d/cybenetics_aHa.pdf
Asus,ROG-STRIX-650G,ATX12V,GOLD,"69,85%","80,38%","84,39%","86,68%",https://www.cybenetics.com/d/cybenetics_vC5.pdf
Chieftec,Smart 600W,ATX12V,BRONZE,"69,85%","77,98%","81,90%","84,05%",https://www.cybenetics.com/d/cybenetics_LfZ.pdf
Corsair,Vengeance 650M (2018),ATX12V,GOLD,"69,83%","79,88%","83,74%","86,08%",https://www.cybenetics.com/d/cybenetics_iyf.pdf
EVGA,SuperNOVA 650 G+,ATX12V,BRONZE,"69,82%","81,75%","85,83%","87,85%",https://www.cybenetics.com/d/cybenetics_m8v.pdf
Phanteks,AMP 750W,ATX12V,GOLD,"69,82%","80,29%","84,18%","86,34%",https://www.cybenetics.com/d/cybenetics_LvL.pdf
Cooler Master,MWE Gold 550,ATX12V,GOLD,"69,80%","81,16%","84,71%","86,96%",https://www.cybenetics.com/d/cybenetics_MLB.pdf
Chieftec,Polaris 1050W,ATX12V,PLATINUM,"69,77%","80,63%","84,72%","87,47%",https://www.cybenetics.com/d/cybenetics_t7A.pdf
Kolink,Core 500W,ATX12V,,"69,71%","77,92%","81,58%","83,33%",https://www.cybenetics.com/d/cybenetics_2Gc.pdf
be quiet!,System Power U9 600W,ATX12V,SILVER,"69,69%","79,47%","83,10%","85,10%",https://www.cybenetics.com/d/cybenetics_y8t.pdf
Cougar,Polar 1050W,ATX12V,PLATINUM,"69,69%","80,95%","84,96%","87,38%",https://www.cybenetics.com/d/cybenetics_vdK.pdf
Cooler Master,MWE Gold 550 V2,ATX12V,SILVER,"69,67%","79,86%","83,94%","85,88%",https://www.cybenetics.com/d/cybenetics_nx2.pdf
Kolink,Core 300W,ATX12V,,"69,62%","78,40%","81,91%","83,44%",https://www.cybenetics.com/d/cybenetics_7yv.pdf
Thermaltake,Toughpower GF A3 1050W,ATX12V,PLATINUM,"69,62%","80,85%","84,68%","87,39%",https://www.cybenetics.com/d/cybenetics_R7z.pdf
MiFCOM,Performance 450W,ATX12V,BRONZE,"69,61%","80,43%","84,68%","86,78%",https://www.cybenetics.com/d/cybenetics_Zz3.pdf
EVGA,450 B3,ATX12V,,"69,53%","80,13%","82,69%","85,57%",https://www.cybenetics.com/d/cybenetics_yfR.pdf
ABKO,Settler 2 600W,ATX12V,SILVER,"69,52%","80,27%","84,73%","86,88%",https://www.cybenetics.com/d/cybenetics_Vtp.pdf
SilverStone,SFX 300W,SFX,BRONZE,"69,51%","79,03%","82,73%","84,42%",https://www.cybenetics.com/d/cybenetics_mH4.pdf
Corsair,Vengeance 750M (2018),ATX12V,GOLD,"69,50%","79,42%","82,82%","85,68%",https://www.cybenetics.com/d/cybenetics_W3c.pdf
Super Frame,SF-B600FL,ATX12V,BRONZE,"69,50%","79,08%","83,04%","84,56%",https://www.cybenetics.com/d/cybenetics_DWi.pdf
Thermaltake,Toughpower GF1 850W,ATX12V,GOLD,"69,49%","81,03%","85,24%","87,34%",https://www.cybenetics.com/d/cybenetics_VxJ.pdf
Asus,ROG-STRIX-750G (#2),ATX12V,GOLD,"69,44%","79,87%","84,05%","86,47%",https://www.cybenetics.com/d/cybenetics_zI0.pdf
Deepcool,DQ850-M-V2L,ATX12V,GOLD,"69,40%","80,31%","84,53%","86,51%",https://www.cybenetics.com/d/cybenetics_J8A.pdf
Phanteks,AMP 750W (#2),ATX12V,GOLD,"69,39%","79,82%","84,03%","86,10%",https://www.cybenetics.com/d/cybenetics_2sT.pdf
Seasonic,Prime Connect 750W,ATX12V,GOLD,"69,37%","79,76%","83,97%","86,15%",https://www.cybenetics.com/d/cybenetics_YoZ.pdf
Zalman,GigaMax III 650W,ATX12V,SILVER,"69,28%","78,42%","83,23%","85,77%",https://www.cybenetics.com/d/cybenetics_fNr.pdf
Zalman,GigaMax III 650W,ATX12V,SILVER,"69,28%","78,42%","83,23%","85,77%",https://www.cybenetics.com/d/cybenetics_fNr.pdf
EVGA,450 BT (Sample #3),ATX12V,,"69,27%","78,68%","82,00%","83,59%",https://www.cybenetics.com/d/cybenetics_Vr0.pdf
Enermax,Revolution SFX 650W,SFX,GOLD,"69,26%","79,81%","84,51%","86,43%",https://www.cybenetics.com/d/cybenetics_6iQ.pdf
Wentai,Aidan 1616W,ATX12V,PLATINUM,"69,21%","80,13%","85,29%","88,18%",https://www.cybenetics.com/d/cybenetics_fUW.pdf
Kolink,SFX-450,SFX,,"69,20%","79,09%","82,68%","84,47%",https://www.cybenetics.com/d/cybenetics_EnZ.pdf
Micronics,Coolmax Focus II ETA Bronze 600W,ATX12V,BRONZE,"69,17%","80,13%","83,65%","85,71%",https://www.cybenetics.com/d/cybenetics_U9E.pdf
Zalman,GigaMax III 750W,ATX12V,SILVER,"69,16%","78,24%","82,99%","85,59%",https://www.cybenetics.com/d/cybenetics_1Mn.pdf
Zalman,GigaMax III 750W,ATX12V,SILVER,"69,16%","78,24%","82,99%","85,59%",https://www.cybenetics.com/d/cybenetics_1Mn.pdf
EVGA,SuperNOVA 1000 G7,ATX12V,PLATINUM,"69,13%","80,22%","84,66%","86,97%",https://www.cybenetics.com/d/cybenetics_CbV.pdf
Green,Overclocking DG 1050W,ATX12V,PLATINUM,"69,04%","80,68%","85,45%","87,90%",https://www.cybenetics.com/d/cybenetics_LT2.pdf
Seasonic,Focus Plus Gold 850W (#2),ATX12V,PLATINUM,"69,04%","79,75%","84,33%","86,63%",https://www.cybenetics.com/d/cybenetics_g9k.pdf
SilverStone,SFX Platinum 700W,SFX,PLATINUM,"68,97%","79,76%","84,13%","86,97%",https://www.cybenetics.com/d/cybenetics_65N.pdf
Cooler Master,G500 Gold,ATX12V,GOLD,"68,96%","79,83%","84,25%","86,45%",https://www.cybenetics.com/d/cybenetics_e7N.pdf
Corsair,CX750F RGB,ATX12V,GOLD,"68,94%","78,89%","82,96%","85,24%",https://www.cybenetics.com/d/cybenetics_OI0.pdf
Seasonic,Focus Plus Gold 650W (#3),ATX12V,GOLD,"68,93%","79,90%","84,13%","86,12%",https://www.cybenetics.com/d/cybenetics_dfQ.pdf
be quiet!,System Power U9 700W,ATX12V,SILVER,"68,92%","77,09%","82,16%","84,53%",https://www.cybenetics.com/d/cybenetics_hnn.pdf
Gamemax,GP-400A rev.2 (Sample #2),ATX12V,,"68,89%","78,89%","82,41%","83,61%",https://www.cybenetics.com/d/cybenetics_7rS.pdf
be quiet!,Straight Power 11 850W,ATX12V,PLATINUM,"68,88%","79,95%","84,16%","86,35%",https://www.cybenetics.com/d/cybenetics_Z9c.pdf
SilverStone,Strider Platinum 1200W,ATX12V,PLATINUM,"68,82%","79,21%","83,80%","85,99%",https://www.cybenetics.com/d/cybenetics_NoA.pdf
MiFCOM,Performance 650W,ATX12V,BRONZE,"68,81%","79,66%","84,13%","86,45%",https://www.cybenetics.com/d/cybenetics_CYF.pdf
Bitfenix,Formula Gold 750W (#2),ATX12V,,"68,79%","80,73%","85,28%","87,27%",https://www.cybenetics.com/d/cybenetics_H6E.pdf
be quiet!,System Power 10 750W,ATX12V,BRONZE,"68,76%","79,01%","83,71%","85,86%",https://www.cybenetics.com/d/cybenetics_Get.pdf
Cooler Master,MWE Gold 650,ATX12V,GOLD,"68,74%","79,54%","83,43%","85,84%",https://www.cybenetics.com/d/cybenetics_yAN.pdf
Chieftronic,Power Up 850W,ATX12V,GOLD,"68,69%","79,59%","84,07%","86,28%",https://www.cybenetics.com/d/cybenetics_JyP.pdf
Aqirys,Pulsar LS 750W,ATX12V,BRONZE,"68,67%","78,52%","83,67%","86,11%",https://www.cybenetics.com/d/cybenetics_i1k.pdf
Corsair,CX450 (Great Wall),ATX12V,SILVER,"68,67%","80,13%","83,56%","85,38%",https://www.cybenetics.com/d/cybenetics_iY1.pdf
Corsair,AX1600i (Sample #3),ATX12V,TITANIUM,"68,60%","81,81%","85,52%","88,17%",https://www.cybenetics.com/d/cybenetics_MJV.pdf
Gamemax,GP-400A rev.2,ATX12V,,"68,57%","78,64%","82,11%","83,46%",https://www.cybenetics.com/d/cybenetics_4Pt.pdf
Thermaltake,Toughpower PF1 1050W,ATX12V,PLATINUM,"68,55%","78,76%","82,94%","84,98%",https://www.cybenetics.com/d/cybenetics_xoC.pdf
